N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,time_total_sec,absolute_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_converged,fp64_converged,gpu_name,status,error
8192,0.05,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.061192085593938829,0.24420241164043546,0.12598358318209649,0.25615212265402076,0.061704012379050252,0.74923421544954183,6.8817960295788053e-09,6.6089609130558355e-07,1.4988823303145352e-15,6,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.05,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.44753511277958752,nan,nan,5.5304702957160767,nan,5.9780057338997725,1.2758082081202888e-09,7.1216795487175047e-07,3.7194110463548583e-13,6,10,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.05,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.44896893957629802,1.1393971730954946,1.054955350793898,2.0104925573803483,0.49414292005822064,5.14795694090426,1.6175456628926934e-08,7.1216795487175047e-07,1.2434949490558306e-15,6,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.06,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.015354861132800579,nan,nan,0.093961686361581087,nan,0.10931693147867919,6.5123042447753594e-10,4.0398716685250737e-07,7.6431742133645538e-13,7,10,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.06,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.015825489908456801,0.06622655391693115,0.01601330367848277,0.033029060810804367,0.0080220469273626811,0.13911645524203778,2.1441864098438979e-09,4.0398716685250737e-07,1.8490005150468435e-15,7,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.06,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.071152867842465634,nan,nan,0.76398846888914707,nan,0.83514176495373249,7.8932287556350294e-10,4.7961328730341446e-07,4.4074104122909241e-13,7,11,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.06,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.070280609279870981,0.24503343887627124,0.12621151888743043,0.25604071710258725,0.061811918206512925,0.75937820235267284,8.2266783088744037e-09,4.7961328730341446e-07,2.2838872716822138e-15,7,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.06,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.52463893247768278,nan,nan,6.0289243112318216,nan,6.5535636687651273,3.3795930355945078e-09,5.4167041822105759e-07,8.5795124823263119e-13,7,11,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.06,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.52132525220513348,1.140295628644526,1.053469164762646,2.0110298568382858,0.49560134159401059,5.2217212440446019,1.9862137283916332e-08,5.4167041822105759e-07,1.8625058290975336e-15,7,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.08,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.016616147942841053,nan,nan,0.11926751136779785,nan,0.13588397791609169,8.699946828471087e-10,9.2712880469306858e-07,7.4646780229712781e-13,8,13,true,true,NVIDIA A100-SXM4-80GB,ok,
