davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
9,29,5.2953107629781609e-07,4.7327521467655197e-07,1,51,4.7327521467655197e-07,29,1.4053285376813353e-12,4.7327521467655197e-07,1.6653345369377348e-14,0
9,28,2.5383751759724849e-12,1.4053285376813353e-12,1,51,4.7327521467655197e-07,29,1.4053285376813353e-12,4.7327521467655197e-07,1.6653345369377348e-14,0
10,29,4.7327521467655197e-07,3.9508321154923645e-07,1,35,3.9508321154923645e-07,29,1.0621871104344433e-12,3.9508321154923645e-07,1.3766765505351941e-14,1
10,28,1.4053285376813353e-12,1.0621871104344433e-12,1,35,3.9508321154923645e-07,29,1.0621871104344433e-12,3.9508321154923645e-07,1.3766765505351941e-14,1
11,29,3.9508321154923645e-07,1.9906775021518564e-07,1,37,1.9906775021518564e-07,29,5.9204051195421151e-13,1.9906775021518564e-07,1.3766765505351941e-14,0
11,28,1.0621871104344433e-12,5.9204051195421151e-13,1,37,1.9906775021518564e-07,29,5.9204051195421151e-13,1.9906775021518564e-07,1.3766765505351941e-14,0
12,29,1.9906775021518564e-07,1.4261733325174772e-07,1,39,1.4261733325174772e-07,29,3.5214546777944823e-13,1.4261733325174772e-07,1.4210854715202004e-14,0
12,28,5.9204051195421151e-13,3.5214546777944823e-13,1,39,1.4261733325174772e-07,29,3.5214546777944823e-13,1.4261733325174772e-07,1.4210854715202004e-14,0
13,29,1.4261733325174772e-07,1.3064812016666192e-07,1,41,1.3064812016666192e-07,29,3.3563055955249928e-13,1.3064812016666192e-07,1.5432100042289676e-14,0
13,27,5.8827739452180142e-13,2.04615860894846e-13,1,41,1.3064812016666192e-07,29,3.3563055955249928e-13,1.3064812016666192e-07,1.5432100042289676e-14,0
14,29,1.3064812016666192e-07,1.1570141002014577e-07,1,43,1.1570141002014577e-07,29,2.3422579635224614e-13,1.1570141002014577e-07,1.2656542480726785e-14,0
14,28,3.3563055955249928e-13,2.3422579635224614e-13,1,43,1.1570141002014577e-07,29,2.3422579635224614e-13,1.1570141002014577e-07,1.2656542480726785e-14,0
15,29,1.1570141002014577e-07,9.2171663677581976e-08,1,45,9.2171663677581976e-08,29,2.2224979293984318e-13,9.2171663677581976e-08,1.532107773982716e-14,0
15,26,2.437684778868144e-13,6.211193682659941e-14,1,45,9.2171663677581976e-08,29,2.2224979293984318e-13,9.2171663677581976e-08,1.532107773982716e-14,0
16,29,9.2171663677581976e-08,5.8896692633816969e-08,1,47,5.8896692633816969e-08,29,1.6692162928447838e-13,5.8896692633816969e-08,1.5765166949677223e-14,0
16,28,2.2224979293984318e-13,1.6692162928447838e-13,1,47,5.8896692633816969e-08,29,1.6692162928447838e-13,5.8896692633816969e-08,1.5765166949677223e-14,0
17,29,5.8896692633816969e-08,3.8488442484330179e-08,1,49,3.8488442484330179e-08,29,1.1380972782654655e-13,3.8488442484330179e-08,1.354472090042691e-14,0
17,28,1.6692162928447838e-13,1.1380972782654655e-13,1,49,3.8488442484330179e-08,29,1.1380972782654655e-13,3.8488442484330179e-08,1.354472090042691e-14,0
18,29,3.8488442484330179e-08,3.27607528741693e-08,1,51,3.27607528741693e-08,29,1.0901002817902344e-13,3.27607528741693e-08,1.7541523789077473e-14,0
18,25,1.5460661667071899e-13,5.1653294163073351e-14,1,51,3.27607528741693e-08,29,1.0901002817902344e-13,3.27607528741693e-08,1.7541523789077473e-14,0
19,29,3.27607528741693e-08,2.3838614881285595e-08,1,53,2.3838614881285595e-08,29,1.0280284137922274e-13,2.3838614881285595e-08,1.4210854715202004e-14,0
