davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
14,29,7.4269249804101378e-08,0,0,1,0,0,0,4.1640424752632488e-06,2.5929539145079016e-06
15,28,7.2970787998748562e-13,0,0,1,1,0,0,0,0
15,29,4.4924491804072932e-08,0,0,1,0,0,0,1.8236119204167796e-06,1.3651960439558348e-06
16,28,6.9618955411622585e-13,0,0,1,1,0,0,0,0
16,29,2.2197795124935258e-08,0,0,1,0,0,0,9.4523357834997528e-07,7.8873674059242399e-07
17,28,6.6341555188599378e-13,0,0,1,1,0,0,0,0
17,29,1.2020369862413305e-08,0,0,1,0,0,0,4.5924220320111614e-07,3.6887346031871716e-07
18,28,6.4437778136105279e-13,0,0,1,1,0,0,0,0
18,29,5.4129839535470862e-09,0,0,1,0,0,0,2.6025648908286322e-07,2.1133706529837128e-07
19,28,6.454343916087183e-13,0,0,1,1,0,0,0,0
19,29,4.0983526214971093e-09,0,0,1,0,0,0,2.6112860277822896e-07,1.7132451612060211e-07
20,28,6.4845867666088283e-13,0,0,1,1,0,0,0,0
20,29,3.289372440484351e-09,0,0,1,0,0,0,2.1414636792806467e-07,1.1834464096053491e-07
21,28,6.4821816177529576e-13,0,0,1,1,0,0,0,0
21,29,1.7883691931636199e-09,0,0,1,0,0,0,9.2186708665057305e-08,5.9694560451722418e-08
22,28,6.4642292304485195e-13,0,0,1,1,0,0,0,0
22,29,9.524492864728453e-10,0,0,1,0,0,0,3.5126833802861764e-08,2.6547690867850537e-08
23,28,6.4682491523790873e-13,0,0,1,1,0,0,0,0
23,29,4.156960889297999e-10,0,0,1,0,0,0,1.4752051692482464e-08,1.2551950470059299e-08
24,28,6.5010902689115075e-13,0,0,1,1,0,0,0,0
24,29,2.0024833867307342e-10,0,0,1,0,0,0,7.160010554351306e-09,6.0510561130363453e-09
25,28,6.4051994022306519e-13,0,0,1,1,0,0,0,0
25,29,9.8791359752385874e-11,0,0,1,0,0,0,3.7833144330092586e-09,3.1984869496544524e-09
26,28,6.3373477065489365e-13,0,0,1,1,0,0,0,0
26,29,5.1575142978557396e-11,0,0,1,0,0,0,2.0670909139739496e-09,1.6597925256127927e-09
27,28,6.3236605770195512e-13,0,0,1,1,0,0,0,0
27,29,2.78382649319634e-11,0,0,1,0,0,0,1.3524514699387799e-09,1.0300984685812715e-09
28,28,6.3532217418405025e-13,0,0,1,1,0,0,0,0
28,29,2.0039566551135774e-11,0,0,1,0,0,0,1.3881147705985843e-09,8.4541525317105654e-10
29,28,6.3055383203264045e-13,0,0,1,1,0,0,0,0
29,29,1.4294916149908694e-11,0,0,1,0,0,0,8.6862413585087433e-10,5.1919944057417079e-10
30,28,6.2514020742087367e-13,0,0,1,1,0,0,0,0
30,29,8.5126566967593361e-12,0,0,1,0,0,0,3.9229128833436731e-10,2.8658717549363763e-10
31,28,6.2585208402577882e-13,0,0,1,1,0,0,0,0
31,29,4.9584716325478168e-12,0,0,1,0,0,0,1.8951163884247624e-10,1.4882742042279566e-10
32,28,6.2557297361403327e-13,0,0,1,1,0,0,0,0
32,29,2.6976361250810419e-12,0,0,1,0,0,0,9.6979393762685588e-11,8.0611357097058887e-11
33,28,6.2557196715007372e-13,0,0,1,1,0,0,0,0
33,29,1.5349895715359512e-12,0,0,1,0,0,0,5.5607905975026838e-11,4.5413127012532888e-11
34,29,8.0445136840647473e-13,1,0,0,1,0,0,0,0
34,28,6.2597917393932994e-13,1,0,0,1,0,0,0,0
34,24,1.744135120851361e-13,1,0,0,1,0,0,0,0
