davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
15,29,1.6934604495413562e-07,1.1477080494896829e-07,1,45,1.1477080494896829e-07,29,1.8998023541463452e-12,1.1477080494896829e-07,1.3988810110276972e-14,0,1,15,1.1477080494896829e-07,1.8998023541463452e-12,1.1477080494896829e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,15,0,12,0
15,24,2.4047261221472348e-12,2.2887666787012769e-12,1,45,1.1477080494896829e-07,29,1.8998023541463452e-12,1.1477080494896829e-07,1.3988810110276972e-14,0,1,15,1.1477080494896829e-07,1.8998023541463452e-12,1.1477080494896829e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,15,0,12,0
16,29,1.1477080494896829e-07,7.2972554761266148e-08,1,47,7.2972554761266148e-08,29,1.8659728099223598e-12,7.2972554761266148e-08,1.4876988529977098e-14,0,1,16,7.2972554761266148e-08,1.8659728099223598e-12,7.2972554761266148e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,16,0,12,0
16,24,2.2887666787012769e-12,1.2489638915217503e-12,1,47,7.2972554761266148e-08,29,1.8659728099223598e-12,7.2972554761266148e-08,1.4876988529977098e-14,0,1,16,7.2972554761266148e-08,1.8659728099223598e-12,7.2972554761266148e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,16,0,12,0
17,29,7.2972554761266148e-08,5.4479236379428412e-08,1,49,5.4479236379428412e-08,29,1.2243086904920071e-12,5.4479236379428412e-08,1.8207657603852567e-14,0,1,17,5.4479236379428412e-08,1.2243086904920071e-12,5.4479236379428412e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,17,0,12,0
17,28,1.8659728099223598e-12,1.2243086904920071e-12,1,49,5.4479236379428412e-08,29,1.2243086904920071e-12,5.4479236379428412e-08,1.8207657603852567e-14,0,1,17,5.4479236379428412e-08,1.2243086904920071e-12,5.4479236379428412e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,17,0,12,0
18,29,5.4479236379428412e-08,3.7303869242457512e-08,1,51,3.7303869242457512e-08,29,1.2265675973413766e-12,3.7303869242457512e-08,1.2434497875801753e-14,0,1,18,3.7303869242457512e-08,1.2243086904920071e-12,3.7303869242457512e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,18,0,12,0
18,25,1.3573804791217563e-12,6.2982891206584502e-13,1,51,3.7303869242457512e-08,29,1.2265675973413766e-12,3.7303869242457512e-08,1.2434497875801753e-14,0,1,18,3.7303869242457512e-08,1.2243086904920071e-12,3.7303869242457512e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,18,0,12,0
19,29,3.7303869242457512e-08,2.1686774525543331e-08,1,53,2.1686774525543331e-08,29,1.0582085712941852e-12,2.1686774525543331e-08,1.5099033134902129e-14,0,1,19,2.1686774525543331e-08,1.0582085712941852e-12,2.1686774525543331e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,19,0,12,0
19,28,1.2265675973413766e-12,1.0582085712941852e-12,1,53,2.1686774525543331e-08,29,1.0582085712941852e-12,2.1686774525543331e-08,1.5099033134902129e-14,0,1,19,2.1686774525543331e-08,1.0582085712941852e-12,2.1686774525543331e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,19,0,12,0
20,29,2.1686774525543331e-08,1.211955355773159e-08,1,35,1.211955355773159e-08,29,1.0471673971910517e-12,1.211955355773159e-08,1.4210854715202004e-14,1,1,20,1.211955355773159e-08,1.0471673971910517e-12,1.211955355773159e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,20,0,12,0
20,24,1.1709577955561584e-12,5.5145059512814407e-13,1,35,1.211955355773159e-08,29,1.0471673971910517e-12,1.211955355773159e-08,1.4210854715202004e-14,1,1,20,1.211955355773159e-08,1.0471673971910517e-12,1.211955355773159e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,20,0,12,0
21,29,1.211955355773159e-08,6.3092004981044642e-09,1,37,6.3092004981044642e-09,29,6.0779124459192879e-13,6.3092004981044642e-09,1.4432899320127035e-14,0,1,21,6.3092004981044642e-09,6.0779124459192879e-13,6.3092004981044642e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,21,0,12,0
21,28,1.0471673971910517e-12,6.0779124459192879e-13,1,37,6.3092004981044642e-09,29,6.0779124459192879e-13,6.3092004981044642e-09,1.4432899320127035e-14,0,1,21,6.3092004981044642e-09,6.0779124459192879e-13,6.3092004981044642e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,21,0,12,0
22,29,6.3092004981044642e-09,3.4970927373598936e-09,1,39,3.4970927373598936e-09,29,6.0237488514929293e-13,3.4970927373598936e-09,1.4654943925052066e-14,0,1,22,3.4970927373598936e-09,6.0237488514929293e-13,3.4970927373598936e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,22,0,12,0
22,27,8.408020001551664e-13,2.8642248412453646e-13,1,39,3.4970927373598936e-09,29,6.0237488514929293e-13,3.4970927373598936e-09,1.4654943925052066e-14,0,1,22,3.4970927373598936e-09,6.0237488514929293e-13,3.4970927373598936e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,22,0,12,0
23,29,3.4970927373598936e-09,1.960340344947604e-09,1,41,1.960340344947604e-09,29,5.988908917518807e-13,1.960340344947604e-09,1.5099033134902129e-14,0,1,23,1.960340344947604e-09,5.988908917518807e-13,1.960340344947604e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,23,0,12,0
23,1,7.4827950489483384e-13,1.9476253872459308e-13,1,41,1.960340344947604e-09,29,5.988908917518807e-13,1.960340344947604e-09,1.5099033134902129e-14,0,1,23,1.960340344947604e-09,5.988908917518807e-13,1.960340344947604e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,23,0,12,0
24,29,1.960340344947604e-09,1.2603197298253707e-09,1,43,1.2603197298253707e-09,29,6.0490741948151576e-13,1.2603197298253707e-09,1.5099033134902129e-14,0,1,24,1.2603197298253707e-09,5.988908917518807e-13,1.2603197298253707e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,24,0,12,0
24,21,6.2200576997339323e-13,6.0333788913588257e-13,1,43,1.2603197298253707e-09,29,6.0490741948151576e-13,1.2603197298253707e-09,1.5099033134902129e-14,0,1,24,1.2603197298253707e-09,5.988908917518807e-13,1.2603197298253707e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,24,0,12,0
25,29,1.2603197298253707e-09,8.0616248647141921e-10,1,45,8.0616248647141921e-10,29,7.1471598225926063e-13,8.0616248647141921e-10,1.5543122344752192e-14,0,1,25,8.0616248647141921e-10,5.988908917518807e-13,8.0616248647141921e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,25,0,12,0
25,28,6.0490741948151576e-13,7.1471598225926063e-13,1,45,8.0616248647141921e-10,29,7.1471598225926063e-13,8.0616248647141921e-10,1.5543122344752192e-14,0,1,25,8.0616248647141921e-10,5.988908917518807e-13,8.0616248647141921e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,25,0,12,0
26,29,8.0616248647141921e-10,5.6095734241339842e-10,1,47,5.6095734241339842e-10,29,6.6835888457356319e-13,5.6095734241339842e-10,1.8984813721090177e-14,0,1,26,5.6095734241339842e-10,5.988908917518807e-13,5.6095734241339842e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,26,0,12,0
26,28,7.1471598225926063e-13,6.6835888457356319e-13,1,47,5.6095734241339842e-10,29,6.6835888457356319e-13,5.6095734241339842e-10,1.8984813721090177e-14,0,1,26,5.6095734241339842e-10,5.988908917518807e-13,5.6095734241339842e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,26,0,12,0
27,29,5.6095734241339842e-10,4.0893075659272501e-10,1,49,4.0893075659272501e-10,29,5.5164896021714962e-13,4.0893075659272501e-10,1.4432899320127035e-14,0,1,27,4.0893075659272501e-10,5.5164896021714962e-13,4.0893075659272501e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,27,0,12,0
27,28,6.6835888457356319e-13,5.5164896021714962e-13,1,49,4.0893075659272501e-10,29,5.5164896021714962e-13,4.0893075659272501e-10,1.4432899320127035e-14,0,1,27,4.0893075659272501e-10,5.5164896021714962e-13,4.0893075659272501e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,27,0,12,0
28,29,4.0893075659272501e-10,2.4652244811829573e-10,1,51,2.4652244811829573e-10,29,5.4778303319300742e-13,2.4652244811829573e-10,1.9317880628477724e-14,0,1,28,2.4652244811829573e-10,5.4778303319300742e-13,2.4652244811829573e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,28,0,12,0
