davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
11,29,1.1248807438108631e-05,0,0,1,0,0,0,0.00037522553390091542,0.00030650197886083287
12,28,9.1445668424685458e-13,0,0,1,1,0,0,0,0
12,29,5.1283938964116544e-06,0,0,1,0,0,0,0.0001919563912600026,0.00016913502014871383
13,28,9.3197660606043215e-13,0,0,1,1,0,0,0,0
13,29,2.6011476851844783e-06,0,0,1,0,0,0,0.00010576320089522448,9.1294144672175156e-05
14,28,9.3511231179584914e-13,0,0,1,1,0,0,0,0
14,29,1.5878030358566537e-06,0,0,1,0,0,0,7.424718125265703e-05,5.7129970992998125e-05
15,28,9.1226910983620398e-13,0,0,1,1,0,0,0,0
15,29,9.5686403456434023e-07,0,0,1,0,0,0,5.6399697892752364e-05,3.7650286374632707e-05
16,28,8.8283055801382655e-13,0,0,1,1,0,0,0,0
16,29,6.0162953346684324e-07,0,0,1,0,0,0,3.8596143206502972e-05,2.3617237091633962e-05
17,28,8.729094325604378e-13,0,0,1,1,0,0,0,0
17,29,3.5867439370921139e-07,0,0,1,0,0,0,1.9661824973450258e-05,1.2684593759371962e-05
18,28,8.7482759925277262e-13,0,0,1,1,0,0,0,0
18,29,1.8501969697109501e-07,0,0,1,0,0,0,8.5917419557059834e-06,6.6332796345594899e-06
19,28,8.7899210912251723e-13,0,0,1,1,0,0,0,0
19,29,9.280304423464041e-08,0,0,1,0,0,0,3.7706481852964109e-06,3.2400409514010624e-06
20,28,8.7531554215458802e-13,0,0,1,1,0,0,0,0
20,29,5.4772096269893072e-08,0,0,1,0,0,0,2.2540389323280255e-06,1.9653078031003201e-06
21,28,8.7390112843183644e-13,0,0,1,1,0,0,0,0
21,29,3.9944368436237004e-08,0,0,1,0,0,0,1.7840688961304948e-06,1.4153943090949899e-06
22,28,8.7549061491757578e-13,0,0,1,1,0,0,0,0
22,29,2.7649391541584175e-08,0,0,1,0,0,0,1.3617846928240152e-06,9.4105668694686741e-07
23,28,8.7512769851035335e-13,0,0,1,1,0,0,0,0
23,29,1.500918181701055e-08,0,0,1,0,0,0,1.0228844650826669e-06,6.0594400742934529e-07
24,28,8.7609849038143995e-13,0,0,1,1,0,0,0,0
24,29,8.0882742950951936e-09,0,0,1,0,0,0,4.6289535169311665e-07,2.8227847071739711e-07
25,28,8.7644373002013307e-13,0,0,1,1,0,0,0,0
25,29,3.8382455638882052e-09,0,0,1,0,0,0,1.6885392522567737e-07,1.2085276149519572e-07
26,28,8.7538183945996589e-13,0,0,1,1,0,0,0,0
26,29,1.7031135940987928e-09,0,0,1,0,0,0,6.5153977575194649e-08,5.5392254296016851e-08
27,28,8.7542675126936982e-13,0,0,1,1,0,0,0,0
27,29,9.3635316440046354e-10,0,0,1,0,0,0,3.4874351226615315e-08,3.0136536361597278e-08
28,28,8.7450267825805066e-13,0,0,1,1,0,0,0,0
28,29,6.1982069211824877e-10,0,0,1,0,0,0,2.0678631671202917e-08,1.8320879279811501e-08
29,28,8.6481113250836302e-13,0,0,1,1,0,0,0,0
29,29,3.2445844384830871e-10,0,0,1,0,0,0,1.1970118137131073e-08,1.0518067803249108e-08
30,28,8.596883052452625e-13,0,0,1,1,0,0,0,0
30,29,1.8891781730142457e-10,0,0,1,0,0,0,7.1429724730848343e-09,6.1047492827028992e-09
31,28,8.6077954225477737e-13,0,0,1,1,0,0,0,0
31,29,1.0405637735367609e-10,0,0,1,0,0,0,4.1516330350018335e-09,3.4611380410374138e-09
32,28,8.6226119791182716e-13,0,0,1,1,0,0,0,0
32,29,5.6267639451972893e-11,0,0,1,0,0,0,3.23338822561495e-09,2.1864001790461584e-09
33,28,8.6306462353168798e-13,0,0,1,1,0,0,0,0
33,29,3.4549407589540288e-11,0,0,1,0,0,0,2.1930807357694046e-09,1.3494647719204046e-09
34,28,8.6048321471773819e-13,0,0,1,1,0,0,0,0
34,29,1.912288775241115e-11,0,0,1,0,0,0,1.1923914285305751e-09,7.0791712932388615e-10
35,28,8.5717620230399287e-13,0,0,1,1,0,0,0,0
35,29,1.0556646056978666e-11,0,0,1,0,0,0,4.3371259402703886e-10,3.4081880357885782e-10
36,28,8.5726820705692591e-13,0,0,1,1,0,0,0,0
