davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual
6,29,3.882296258537209e-05,3.3029223146782219e-05,1,45,3.3029223146782219e-05,29,2.0371828703734985e-12,3.3029223146782219e-05,1.6653345369377348e-14,0,1,6,3.3029223146782219e-05,2.0371828703734985e-12,3.3029223146782219e-05
6,28,2.9200837106741829e-12,2.0371828703734985e-12,1,45,3.3029223146782219e-05,29,2.0371828703734985e-12,3.3029223146782219e-05,1.6653345369377348e-14,0,1,6,3.3029223146782219e-05,2.0371828703734985e-12,3.3029223146782219e-05
7,29,3.3029223146782219e-05,3.2889348955684759e-05,1,47,3.2889348955684759e-05,29,1.7464432434691799e-12,3.2889348955684759e-05,1.7319479184152442e-14,0,1,7,3.2889348955684759e-05,1.7464432434691799e-12,3.2889348955684759e-05
7,28,2.0371828703734985e-12,1.7464432434691799e-12,1,47,3.2889348955684759e-05,29,1.7464432434691799e-12,3.2889348955684759e-05,1.7319479184152442e-14,0,1,7,3.2889348955684759e-05,1.7464432434691799e-12,3.2889348955684759e-05
8,29,3.2889348955684759e-05,2.1963500581386855e-05,1,49,2.1963500581386855e-05,29,1.161909355416287e-12,2.1963500581386855e-05,1.3988810110276972e-14,0,1,8,2.1963500581386855e-05,1.161909355416287e-12,2.1963500581386855e-05
8,28,1.7464432434691799e-12,1.161909355416287e-12,1,49,2.1963500581386855e-05,29,1.161909355416287e-12,2.1963500581386855e-05,1.3988810110276972e-14,0,1,8,2.1963500581386855e-05,1.161909355416287e-12,2.1963500581386855e-05
9,29,2.1963500581386855e-05,1.092504213739976e-05,1,51,1.092504213739976e-05,29,6.210423793367047e-13,1.092504213739976e-05,1.5543122344752192e-14,0,1,9,1.092504213739976e-05,6.210423793367047e-13,1.092504213739976e-05
9,26,1.5204991792512642e-12,1.0397772605880557e-13,1,51,1.092504213739976e-05,29,6.210423793367047e-13,1.092504213739976e-05,1.5543122344752192e-14,0,1,9,1.092504213739976e-05,6.210423793367047e-13,1.092504213739976e-05
10,29,1.092504213739976e-05,6.4953454290033651e-06,1,35,6.4953454290033651e-06,29,3.5561574051218973e-13,6.4953454290033651e-06,1.6653345369377348e-14,1,1,10,6.4953454290033651e-06,3.5561574051218973e-13,6.4953454290033651e-06
10,28,6.210423793367047e-13,3.5561574051218973e-13,1,35,6.4953454290033651e-06,29,3.5561574051218973e-13,6.4953454290033651e-06,1.6653345369377348e-14,1,1,10,6.4953454290033651e-06,3.5561574051218973e-13,6.4953454290033651e-06
11,29,6.4953454290033651e-06,3.1553835644794977e-06,1,37,3.1553835644794977e-06,29,1.6614269246892195e-13,3.1553835644794977e-06,1.5099033134902129e-14,0,1,11,3.1553835644794977e-06,1.6614269246892195e-13,3.1553835644794977e-06
11,28,3.5561574051218973e-13,1.6614269246892195e-13,1,37,3.1553835644794977e-06,29,1.6614269246892195e-13,3.1553835644794977e-06,1.5099033134902129e-14,0,1,11,3.1553835644794977e-06,1.6614269246892195e-13,3.1553835644794977e-06
