davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
28,29,7.6624901804169012e-10,5.5740776807131801e-10,1,51,5.5740776807131801e-10,29,7.5237941647828278e-14,5.5740776807131801e-10,1.5099033134902129e-14,0,1,28,5.5740776807131801e-10,7.5237941647828278e-14,5.5740776807131801e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,28,0,12,0
28,28,1.1333910705375251e-13,7.5237941647828278e-14,1,51,5.5740776807131801e-10,29,7.5237941647828278e-14,5.5740776807131801e-10,1.5099033134902129e-14,0,1,28,5.5740776807131801e-10,7.5237941647828278e-14,5.5740776807131801e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,28,0,12,0
29,29,5.5740776807131801e-10,4.7244475136280616e-10,1,52,4.7244475136280616e-10,29,7.6665191407931351e-14,4.7244475136280616e-10,1.4876988529977098e-14,0,1,29,4.7244475136280616e-10,7.5237941647828278e-14,4.7244475136280616e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,29,0,12,0
30,29,4.7244475136280616e-10,3.2069113085779661e-10,1,53,3.2069113085779661e-10,29,7.7252630161470896e-14,3.2069113085779661e-10,1.532107773982716e-14,0,1,30,3.2069113085779661e-10,7.5237941647828278e-14,3.2069113085779661e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,30,0,12,0
31,29,3.2069113085779661e-10,1.5984458259497011e-10,1,54,1.5984458259497011e-10,29,7.5048118274799511e-14,1.5984458259497011e-10,1.5543122344752192e-14,0,1,31,1.5984458259497011e-10,7.5048118274799511e-14,1.5984458259497011e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,31,0,12,0
32,29,1.5984458259497011e-10,7.786396029314587e-11,1,35,7.786396029314587e-11,29,7.3618822045690044e-14,7.786396029314587e-11,1.4654943925052066e-14,1,1,32,7.786396029314587e-11,7.3618822045690044e-14,7.786396029314587e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,32,0,12,0
33,29,7.786396029314587e-11,5.1553634689791583e-11,1,36,5.1553634689791583e-11,29,7.3240893402697307e-14,5.1553634689791583e-11,1.532107773982716e-14,0,1,33,5.1553634689791583e-11,7.3240893402697307e-14,5.1553634689791583e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,33,0,12,0
34,29,5.1553634689791583e-11,3.3090083153992261e-11,1,37,3.3090083153992261e-11,29,7.3061303248466931e-14,3.3090083153992261e-11,1.532107773982716e-14,0,1,34,3.3090083153992261e-11,7.3061303248466931e-14,3.3090083153992261e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,34,0,12,0
35,29,3.3090083153992261e-11,2.2457396913079269e-11,1,38,2.2457396913079269e-11,29,7.3244578160118741e-14,2.2457396913079269e-11,1.5543122344752192e-14,0,1,35,2.2457396913079269e-11,7.3061303248466931e-14,2.2457396913079269e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,35,0,12,0
36,29,2.2457396913079269e-11,1.6426225357160863e-11,1,39,1.6426225357160863e-11,29,7.3344334112040951e-14,1.6426225357160863e-11,1.6653345369377348e-14,0,1,36,1.6426225357160863e-11,7.3061303248466931e-14,1.6426225357160863e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,36,0,12,0
37,29,1.6426225357160863e-11,1.0206863636613058e-11,1,40,1.0206863636613058e-11,29,7.3807910291349835e-14,1.0206863636613058e-11,1.532107773982716e-14,0,1,37,1.0206863636613058e-11,7.3061303248466931e-14,1.0206863636613058e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,37,0,12,0
38,29,1.0206863636613058e-11,6.7116140881706087e-12,1,41,6.7116140881706087e-12,29,7.3755930892506468e-14,6.7116140881706087e-12,1.532107773982716e-14,0,1,38,6.7116140881706087e-12,7.3061303248466931e-14,6.7116140881706087e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,38,0,12,0
39,29,6.7116140881706087e-12,3.97766808364928e-12,1,42,3.97766808364928e-12,29,7.3759644385432321e-14,3.97766808364928e-12,1.532107773982716e-14,0,1,39,3.97766808364928e-12,7.3061303248466931e-14,3.97766808364928e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,39,0,12,0
40,29,3.97766808364928e-12,2.2978936324695472e-12,1,43,2.2978936324695472e-12,29,7.3740507180263211e-14,2.2978936324695472e-12,1.6653345369377348e-14,0,1,40,2.2978936324695472e-12,7.3061303248466931e-14,2.2978936324695472e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,40,0,12,0
41,29,2.2978936324695472e-12,1.5699983572071855e-12,1,44,1.5699983572071855e-12,29,7.4211976183658031e-14,1.5699983572071855e-12,1.4432899320127035e-14,0,1,41,1.5699983572071855e-12,7.3061303248466931e-14,1.5699983572071855e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,41,0,12,0
42,29,1.5699983572071855e-12,1.2137364597143928e-12,1,45,1.2137364597143928e-12,29,7.2519654351975879e-14,1.2137364597143928e-12,1.6653345369377348e-14,0,1,42,1.2137364597143928e-12,7.2519654351975879e-14,1.2137364597143928e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,42,0,12,0
43,29,1.2137364597143928e-12,1.3268419106195163e-12,0,45,1.2137364597143928e-12,29,7.2519654351975879e-14,1.2137364597143928e-12,1.6653345369377348e-14,0,0,42,1.2137364597143928e-12,7.2414920678679026e-14,1.2137364597143928e-12,1,0,0,1,not_improved,4,1,2.9999999999999999e-07,42,1,12,0
