davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
14,28,8.3587855876087489e-13,1,0,0,0,0,0,6.0885198359980979e-11,3.7936718331994379e-11
15,29,1.1922276384156431e-07,1,0,0,0,0,0,7.477708418328799e-06,4.8765964962094518e-06
15,24,7.4694473139472808e-13,1,0,0,0,0,0,2.4086094975728226e-11,2.0590951930873176e-11
16,29,7.5331089913102225e-08,1,0,0,0,0,0,4.622034814184368e-06,3.137709962020164e-06
16,28,6.6455160386546311e-13,1,0,0,0,0,0,4.1514352326108886e-11,2.420836661198967e-11
17,29,4.1931246766666937e-08,1,0,0,0,0,0,2.9777994152436149e-06,1.8824357930087826e-06
17,28,5.0727019872748616e-13,1,0,0,0,0,0,3.8318089818797846e-11,2.0756358343398828e-11
18,29,2.6538885416104763e-08,1,0,0,0,0,0,1.2066270036099042e-06,9.3474217946477347e-07
18,28,5.2565268742533142e-13,1,0,0,0,0,0,1.9905249099954382e-11,1.6005679630314155e-11
19,29,1.4742179438357849e-08,1,0,0,0,0,0,8.0052670009431582e-07,5.6977369843187872e-07
19,28,4.4511099357757275e-13,1,0,0,0,0,0,2.5365115456662596e-11,1.530597289054745e-11
20,29,8.5683517128442809e-09,1,0,0,0,0,0,4.3763506477017782e-07,3.1578891618694926e-07
20,26,3.759969646467343e-13,1,0,0,0,0,0,1.5600682721376586e-11,1.3788574136402003e-11
21,29,4.6824507022534599e-09,1,0,0,0,0,0,2.8410205783178991e-07,2.5491782021235189e-07
21,5,3.0135980836799412e-13,1,0,0,0,0,0,1.0490229946978011e-11,9.9834526729604854e-12
22,29,3.2059698741037794e-09,1,0,0,0,0,0,1.8777552075605359e-07,1.4581628737809539e-07
22,14,2.8130267637184179e-13,1,0,0,0,0,0,1.0412951542677444e-11,8.1670773873412824e-12
23,29,2.3602951944317501e-09,1,0,0,0,0,0,1.4605817874065491e-07,1.1372074365556538e-07
23,28,2.4964230206092565e-13,1,0,0,0,0,0,9.5164335483748964e-12,8.3752241561062654e-12
24,29,1.7429290577837975e-09,1,0,0,0,0,0,1.1141338435839855e-07,8.0236073028293804e-08
24,24,1.6833185619629805e-13,1,0,0,0,0,0,8.9746527877382332e-12,4.3307627809991593e-12
25,29,1.5004097664138331e-09,1,0,0,0,0,0,9.008696958299021e-08,6.2546835954639372e-08
25,28,1.5027891781674415e-13,1,0,0,0,0,0,6.1308433898033136e-12,4.9731313847861596e-12
26,29,9.5289401477713459e-10,1,0,0,0,0,0,6.0668425275802098e-08,4.5554483141177923e-08
26,25,1.4682869551528804e-13,1,0,0,0,0,0,4.2508201647210053e-12,3.8817213569947561e-12
27,29,8.6117493301309976e-10,1,0,0,0,0,0,5.4513626520870008e-08,4.5872222101888091e-08
27,1,1.4068338181333163e-13,1,0,0,0,0,0,4.0430038803895989e-12,3.9434197428535986e-12
28,29,7.6624901804169012e-10,1,0,0,0,0,0,5.8082915916668479e-08,3.6424942380564781e-08
28,28,1.1333910705375251e-13,1,0,0,0,0,0,5.0949420802705494e-12,4.0740779615929464e-12
29,29,5.5740776807131801e-10,1,0,0,0,0,0,3.1527898738521942e-08,2.1326886544889184e-08
29,26,9.6595246744426438e-14,0,0,1,0,0,0,0,0
29,5,9.6258312818836584e-14,0,0,1,0,0,0,0,0
29,14,8.2458817079269983e-14,0,0,1,0,0,0,0,0
29,24,7.8911835641239868e-14,0,0,1,0,0,0,0,0
29,9,7.8277646852627059e-14,0,0,1,0,0,0,0,0
