davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
14,29,3.245690078286257e-08,2.1271754053340581e-08,1,39,2.1271754053340581e-08,29,7.9704929610406438e-14,2.1271754053340581e-08,1.354472090042691e-14,0
15,29,2.1271754053340581e-08,1.301493731966618e-08,1,40,1.301493731966618e-08,29,7.9484070509701703e-14,1.301493731966618e-08,1.4210854715202004e-14,0
16,29,1.301493731966618e-08,8.1616411947517561e-09,1,41,8.1616411947517561e-09,29,7.9328449430125345e-14,8.1616411947517561e-09,1.7319479184152442e-14,0
17,29,8.1616411947517561e-09,5.158037970338833e-09,1,42,5.158037970338833e-09,29,7.8540526533967936e-14,5.158037970338833e-09,1.5099033134902129e-14,0
18,29,5.158037970338833e-09,3.2860628946557629e-09,1,43,3.2860628946557629e-09,29,7.8609290086241714e-14,3.2860628946557629e-09,1.4876988529977098e-14,0
19,29,3.2860628946557629e-09,1.5469116472501016e-09,1,44,1.5469116472501016e-09,29,7.8581096618969343e-14,1.5469116472501016e-09,1.5765166949677223e-14,0
20,29,1.5469116472501016e-09,1.1026951467341516e-09,1,45,1.1026951467341516e-09,29,7.8396002026864639e-14,1.1026951467341516e-09,1.532107773982716e-14,0
21,29,1.1026951467341516e-09,1.0872966029452276e-09,1,46,1.0872966029452276e-09,29,7.8430382022118733e-14,1.0872966029452276e-09,1.6542323066914832e-14,0
22,29,1.0872966029452276e-09,7.7959455825915626e-10,1,47,7.7959455825915626e-10,29,7.7699127796682921e-14,7.7959455825915626e-10,1.6764367671839864e-14,0
23,29,7.7959455825915626e-10,5.9009916861035206e-10,1,48,5.9009916861035206e-10,29,7.7300432815309752e-14,5.9009916861035206e-10,1.4210854715202004e-14,0
24,29,5.9009916861035206e-10,4.3114650403270429e-10,1,49,4.3114650403270429e-10,29,7.6458274125196661e-14,4.3114650403270429e-10,1.6209256159527285e-14,0
25,29,4.3114650403270429e-10,3.3309270054343897e-10,1,50,3.3309270054343897e-10,29,7.6243178857812884e-14,3.3309270054343897e-10,1.5765166949677223e-14,0
26,29,3.3309270054343897e-10,3.0309673339522189e-10,1,51,3.0309673339522189e-10,29,7.6426510350778215e-14,3.0309673339522189e-10,1.6875389974302379e-14,0
27,29,3.0309673339522189e-10,2.1160828356553522e-10,1,52,2.1160828356553522e-10,29,7.6143601790982253e-14,2.1160828356553522e-10,1.532107773982716e-14,0
