davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
11,29,2.0888451186052656e-07,1.1688845095273097e-07,1,37,1.1688845095273097e-07,29,9.678481914707716e-13,1.1688845095273097e-07,1.8207657603852567e-14,0
11,28,1.4441574377711071e-12,9.678481914707716e-13,1,37,1.1688845095273097e-07,29,9.678481914707716e-13,1.1688845095273097e-07,1.8207657603852567e-14,0
12,29,1.1688845095273097e-07,8.2188893859631336e-08,1,39,8.2188893859631336e-08,29,1.0401911701725149e-12,8.2188893859631336e-08,1.3100631690576847e-14,0
12,26,1.1669963186341879e-12,3.3385347722605084e-13,1,39,8.2188893859631336e-08,29,1.0401911701725149e-12,8.2188893859631336e-08,1.3100631690576847e-14,0
13,29,8.2188893859631336e-08,4.8598058281098976e-08,1,41,4.8598058281098976e-08,29,7.7969968753219251e-13,4.8598058281098976e-08,1.7097434579227411e-14,0
13,28,1.0401911701725149e-12,7.7969968753219251e-13,1,41,4.8598058281098976e-08,29,7.7969968753219251e-13,4.8598058281098976e-08,1.7097434579227411e-14,0
14,29,4.8598058281098976e-08,3.2549180190429067e-08,1,43,3.2549180190429067e-08,29,7.484772262646939e-13,3.2549180190429067e-08,1.7097434579227411e-14,0
14,25,8.4290675485205692e-13,4.2095820768934827e-13,1,43,3.2549180190429067e-08,29,7.484772262646939e-13,3.2549180190429067e-08,1.7097434579227411e-14,0
15,29,3.2549180190429067e-08,2.2153774778358886e-08,1,45,2.2153774778358886e-08,29,4.3203651367858637e-13,2.2153774778358886e-08,1.5765166949677223e-14,0
15,28,7.484772262646939e-13,4.3203651367858637e-13,1,45,2.2153774778358886e-08,29,4.3203651367858637e-13,2.2153774778358886e-08,1.5765166949677223e-14,0
16,29,2.2153774778358886e-08,1.8542252150772827e-08,1,47,1.8542252150772827e-08,29,4.2604113487119252e-13,1.8542252150772827e-08,1.4654943925052066e-14,0
16,24,5.0564246889268468e-13,1.4046234407739172e-13,1,47,1.8542252150772827e-08,29,4.2604113487119252e-13,1.8542252150772827e-08,1.4654943925052066e-14,0
17,29,1.8542252150772827e-08,1.4807698663842011e-08,1,49,1.4807698663842011e-08,29,3.1047743157819945e-13,1.4807698663842011e-08,1.5099033134902129e-14,0
17,28,4.2604113487119252e-13,3.1047743157819945e-13,1,49,1.4807698663842011e-08,29,3.1047743157819945e-13,1.4807698663842011e-08,1.5099033134902129e-14,0
18,29,1.4807698663842011e-08,9.546397062591325e-09,1,51,9.546397062591325e-09,29,3.013341136842709e-13,9.546397062591325e-09,1.4654943925052066e-14,0
18,26,4.2413817556332964e-13,1.4524830349269364e-13,1,51,9.546397062591325e-09,29,3.013341136842709e-13,9.546397062591325e-09,1.4654943925052066e-14,0
19,29,9.546397062591325e-09,7.0643194924158123e-09,1,53,7.0643194924158123e-09,29,3.0385427189697977e-13,7.0643194924158123e-09,1.4988010832439613e-14,0
