i_sorted,j_sorted,i_original,j_original,d_i,d_j,abs_gap,abs_Aij,coupling_over_gap,relation
0,50,0,49,-40.110302463968672,-38.523632256885378,1.5866702070832943,0.031923807684397891,0.020120001965047301,outside_candidate
0,51,0,51,-40.110302463968672,-38.523208436758658,1.5870940272100142,0.017526870497740876,0.011043372476520328,outside_candidate
0,52,0,52,-40.110302463968672,-38.523208436758608,1.587094027210064,0.017526870497740866,0.011043372476519975,outside_candidate
0,53,0,53,-40.110302463968672,-38.518048551255639,1.5922539127130335,0.0020643552820609088,0.0012964987968178167,outside_candidate
0,54,0,54,-40.110302463968672,-38.518048551255639,1.5922539127130335,0.0020643552820609375,0.0012964987968178347,outside_candidate
0,55,0,56,-40.110302463968672,-38.516905789642834,1.5933966743258381,0.01944839113740025,0.012205618005088917,outside_candidate
0,56,0,55,-40.110302463968672,-38.51690578964282,1.5933966743258523,0.019448391137400264,0.012205618005088816,outside_candidate
0,57,0,58,-40.110302463968672,-38.515389665287053,1.5949127986816194,0.020291619756286721,0.012722714228050651,outside_candidate
0,58,0,57,-40.110302463968672,-38.515389665287046,1.5949127986816265,0.020291619756286714,0.012722714228050588,outside_candidate
0,59,0,59,-40.110302463968672,-38.511524460429108,1.5987780035395645,1.0061396160665481e-16,6.2931790019567243e-17,outside_candidate
0,60,0,60,-40.110302463968672,-38.511524460429087,1.5987780035395858,1.0061396160665481e-16,6.2931790019566405e-17,outside_candidate
0,61,0,61,-40.110302463968672,-38.509119151636938,1.6011833123317345,0.022297512746042591,0.013925646473027301,outside_candidate
0,62,0,62,-40.110302463968672,-38.509119151636924,1.6011833123317487,0.022297512746042594,0.01392564647302718,outside_candidate
0,63,0,63,-40.110302463968672,-38.505838792892362,1.60446367107631,0.034043169125568325,0.021217787438422588,outside_candidate
0,64,0,64,-40.110302463968672,-38.505838792892334,1.6044636710763385,0.034043169125568332,0.021217787438422217,outside_candidate
0,65,0,65,-40.110302463968672,-38.505450543172927,1.6048519207957455,3.8163916471489756e-17,2.3780335105662997e-17,outside_candidate
0,66,0,66,-40.110302463968672,-38.505450543172927,1.6048519207957455,3.8163916471489756e-17,2.3780335105662997e-17,outside_candidate
0,67,0,67,-40.110302463968672,-38.505185035088573,1.6051174288800993,1.6306400674181987e-16,1.0159007921033583e-16,outside_candidate
