davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
31,29,2.899475234548545e-12,0,0,1,0,0,0,1.1163907452133063e-10,1.0004160877758743e-10
32,28,5.5929376855414842e-13,0,0,1,1,0,0,0,0
32,29,1.8966444296456261e-12,0,0,1,0,0,0,7.1895914932763121e-11,6.1916625368123007e-11
33,28,5.5963399091405771e-13,0,0,1,1,0,0,0,0
33,29,1.1605900485233027e-12,0,0,1,0,0,0,4.1392073083808311e-11,3.6743229232090798e-11
34,29,6.4245871631582439e-13,1,0,0,1,0,0,0,0
34,28,5.5521387567739451e-13,1,0,0,1,0,0,0,0
34,24,4.213237379949796e-13,1,0,0,1,0,0,0,0
34,27,1.1402597925020913e-13,1,0,0,1,0,0,0,0
34,25,1.1080927641000977e-13,1,0,0,1,0,0,0,0
34,26,8.681814741198805e-14,1,0,0,1,0,0,0,0
34,22,6.6327806253369019e-14,1,0,0,1,0,0,0,0
