davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
12,29,1.5843007392331104e-07,1,0,0,0,0,0,6.1220700215275488e-06,5.5372627009854459e-06
12,28,1.9695570866454835e-12,1,0,0,0,0,0,1.409567945762091e-10,1.2430323711917483e-10
13,29,9.1126263554329786e-08,1,0,0,0,0,0,4.3032115186392026e-06,3.8615761030545149e-06
13,28,1.777509713262503e-12,1,0,0,0,0,0,8.5471635146981578e-11,7.3822560242479054e-11
14,29,6.0197036675245366e-08,1,0,0,0,0,0,3.5461996295200226e-06,2.6906836486106763e-06
14,28,1.8534076936513647e-12,1,0,0,0,0,0,1.2460918354283365e-10,7.984560621427117e-11
15,29,3.4754536855385089e-08,1,0,0,0,0,0,2.6454836608149604e-06,1.8532371167973069e-06
15,28,1.5190358742501832e-12,1,0,0,0,0,0,9.8878581708897701e-11,6.6468518094052531e-11
16,29,2.3424279575369663e-08,1,0,0,0,0,0,1.5955573233259687e-06,1.1099748180539288e-06
16,24,1.0660120769139186e-12,1,0,0,0,0,0,4.3285939735458847e-11,3.8695946144835421e-11
17,29,1.8896232703619414e-08,1,0,0,0,0,0,1.4043240666254708e-06,8.8754966227307233e-07
17,28,8.5622360885045968e-13,1,0,0,0,0,0,5.7666623355427814e-11,3.2940357442239174e-11
18,29,1.1821438612574083e-08,1,0,0,0,0,0,7.4354718812054796e-07,4.2979098936044463e-07
18,28,5.4462738335388166e-13,1,0,0,0,0,0,2.8335949101576875e-11,2.0555686310185132e-11
19,29,5.03545571883084e-09,1,0,0,0,0,0,2.2939751878008971e-07,1.7334645821593529e-07
19,28,3.7065568074521595e-13,1,0,0,0,0,0,1.963200449963358e-11,1.3806831034780172e-11
20,29,2.5768633064885701e-09,1,0,0,0,0,0,1.11166838013975e-07,9.3566594569567271e-08
20,27,3.3315386620261689e-13,1,0,0,0,0,0,1.6022493047389369e-11,1.4782894747163063e-11
21,29,1.5767344810421869e-09,1,0,0,0,0,0,6.9827562114501141e-08,5.823766035231847e-08
21,28,2.6091976341627189e-13,1,0,0,0,0,0,1.963001114089246e-11,1.6209234072089367e-11
22,29,9.858041811523129e-10,1,0,0,0,0,0,5.1494663954841726e-08,3.9597794931173424e-08
22,28,2.3240623831384673e-13,1,0,0,0,0,0,1.7311866014254746e-11,1.3202337827726082e-11
23,29,7.3770092848145093e-10,1,0,0,0,0,0,4.2464120196528301e-08,2.9222308352077173e-08
23,28,3.0954080384493316e-13,1,0,0,0,0,0,1.4625446099005538e-11,1.1177844437650772e-11
24,29,4.907427711788873e-10,1,0,0,0,0,0,3.5618855232651369e-08,2.251947733068349e-08
24,28,2.0330534087682238e-13,1,0,0,0,0,0,1.2763115376278922e-11,9.5447028892156578e-12
25,29,3.3182952855846739e-10,1,0,0,0,0,0,1.7290840583155424e-08,1.2103529357344744e-08
25,24,1.5313674269220675e-13,1,0,0,0,0,0,1.1037977804356497e-11,4.4619224258283776e-12
26,29,1.7108214698654616e-10,1,0,0,0,0,0,7.4184395703109378e-09,5.7586957471666742e-09
26,28,1.4361522442061044e-13,1,0,0,0,0,0,8.7570836542240097e-12,6.125203740855971e-12
27,29,8.5722347509200204e-11,1,0,0,0,0,0,3.6460922929128349e-09,2.8963242537262695e-09
27,24,1.0245230677994887e-13,1,0,0,0,0,0,1.2720494634719913e-11,2.250344565577822e-12
28,29,4.3663265240607484e-11,1,0,0,0,0,0,2.0843046149025704e-09,1.5985514015289301e-09
28,24,1.0126760287442315e-13,1,0,0,0,0,0,1.377393437458377e-11,5.4760291875642093e-13
29,29,2.3247321684008081e-11,1,0,0,0,0,0,1.3548612234506055e-09,8.8490900056104113e-10
29,24,9.9769778234246013e-14,0,0,1,0,0,0,0,0
29,28,8.9409756853839947e-14,0,0,1,0,0,0,0,0
29,25,5.5279149367017026e-14,0,0,1,0,0,0,0,0
29,27,4.3276320194658092e-14,0,0,1,0,0,0,0,0
29,26,4.1156435518142361e-14,0,0,1,0,0,0,0,0
